nama_siswa,alamat_siswa,nilai_rapor,nilai_ujian_sekolah,nilai_ujian_nasional,aktivitas_ekstrakurikuler,prestasi_olimpiade,minat_jurusan,sekolah_asal,lokasi,sekolah_sma
Brittany Mendoza,"9346 Lisa Islands Apt. 253
Craigshire, MI 61369",9,80,76,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Mary Berry,"70601 Rachel Haven
Millertown, WY 48038",8,90,96,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Amanda Williams,"5902 Elizabeth Hollow Suite 347
South Laurenville, ID 87646",9,71,97,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Patricia Joyce,"730 Richard Cove
Travisville, WI 70410",10,76,99,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Steven Webb,"292 David Loop
Dennisshire, KS 48439",8,95,64,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Shannon Thomas,"64090 Lee Valley
Port Brianville, MO 97652",10,78,75,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Robert Cooper,"45897 Cox Villages
Michaelfort, MA 81781",7,98,61,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Mr. Anthony Jordan Jr.,"72198 Little Locks Apt. 079
Lake Teresaville, AL 04127",8,89,83,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Peter Bradley,"183 Teresa Square Apt. 880
East Rickymouth, TX 21930",8,93,70,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Walter Ellis,"6678 Dillon Points
East Jimmy, UT 54062",9,91,71,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Mark Cruz,"22220 Perez Road Suite 978
Meganfurt, LA 25270",7,75,95,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Carolyn Bryan,"238 Haynes Track
Kathleenshire, NH 47668",9,84,70,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Sheryl George,"24509 Jack Valleys
East Darrenport, OK 53615",9,87,87,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Briana Green,"4345 Michael Freeway Apt. 955
East Lisaburgh, VA 64229",8,88,81,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Cheyenne Johnson,"045 Allen Lakes Apt. 528
West Geraldville, NE 79610",7,80,91,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Laura Woodard,"0927 Becky Locks Apt. 796
East Logan, NE 09847",8,94,65,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Lauren Sims,"8301 Sharon Shores
Toddhaven, SD 81041",9,93,97,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Rachel Anderson,"12687 Bailey Streets Suite 118
Hernandezland, WA 85178",9,93,82,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Joseph Miller,"614 Jeffery Brook Suite 645
West Davidton, WV 77562",9,83,77,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Jennifer Sullivan,"5887 Timothy Rapids Apt. 356
West Mark, MP 03259",10,76,90,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Ryan Stewart,"40085 Karen Walk Suite 001
Johnsonville, CT 49762",8,86,90,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Tara Gamble,"02069 Rodriguez Hill
Smithburgh, UT 96324",8,76,82,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Thomas Fischer,"91013 Wilson Village
New Crystalborough, OH 57352",9,96,93,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Gabriela Smith,"877 Jared Plaza Apt. 378
West Danielle, AR 41840",10,71,74,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Monica Gomez,"6073 Pittman Parkways
Taylorville, MH 33729",9,75,83,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Nicholas Davis,"778 David Harbors
Allenland, MP 81013",7,84,67,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Alejandra Wong,"673 Bolton Key
Robinville, IL 92002",8,86,90,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
John Carter,"71087 Donald Plaza
Patrickville, ND 91987",9,96,77,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Kelsey Taylor,"03105 Harrell Extension
Reyestown, NV 92953",8,79,77,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Stacey Wu,"PSC 1714, Box 6490
APO AA 33478",10,92,98,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Ryan Johnson,"5004 Jones Tunnel
New Jodifort, SD 73309",8,84,83,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Thomas Bennett,"605 Stephanie Prairie
Lake Juliashire, AZ 49868",8,81,80,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Julian Rodgers,"67709 Robert Harbors
Darrellchester, MT 18742",9,94,88,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
William Garcia,"0580 Beard Flat
South Gregoryview, PW 33370",9,79,70,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Carl Moore,"60074 Scott Springs Suite 062
South Adamstad, MT 23772",8,94,98,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Jennifer Long,"20645 Davis Turnpike Suite 655
Darrylville, AS 22033",10,70,73,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Cheryl Jensen,"574 Kristine Drive Apt. 038
East Ericaberg, SC 02037",8,83,81,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Elizabeth Johnson,"Unit 9822 Box 7553
DPO AE 68818",8,99,66,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Alexandra Anderson,"600 Lisa Port
North Spencer, OR 19137",9,92,93,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Robert Campbell,"68952 Thomas Extensions
New Ryan, VA 43663",8,82,82,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Karen Thomas,"74405 Gavin Cliff Apt. 504
Port Thomas, MN 31849",8,93,100,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Catherine Newman DDS,"874 Copeland Track
Thomasport, CO 53912",8,80,73,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Troy Wall,"Unit 5109 Box 8637
DPO AE 54628",10,94,89,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Preston James,"101 Johnson Island Apt. 158
North Lindaville, OH 96785",8,89,100,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
David Howard,"245 Burns Path
Port Carlos, FL 96855",9,91,86,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Eric Thomas,"87044 Brandi Lakes Apt. 566
Mcintoshstad, IA 12004",9,70,63,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Paul Mueller,"90359 Emily Camp Apt. 873
Bruceburgh, MD 42258",9,93,82,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Ronald Montoya,"99725 Church Stream
Angelahaven, NM 69314",9,73,62,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
John Fowler,"Unit 7836 Box 0955
DPO AE 66634",8,75,81,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Megan Williams,"1436 Amanda Knolls Apt. 786
Johnport, GU 17800",9,74,97,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Anna Ward,"062 Booker Manor
Yangport, CO 78147",9,81,95,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Jaime Johnson,"680 Hughes Springs Suite 044
Johnsonberg, MT 93592",10,92,76,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Michael Donovan,"0531 Mclaughlin Mission
Nortonshire, GA 97865",9,88,83,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Lisa Ramirez,"570 Curtis Track Suite 356
Port Christina, CA 88202",9,94,61,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Jared Morgan,"83376 Stephanie Extensions Suite 883
Doylefurt, WI 94410",8,80,64,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
John Liu,"62794 Veronica Grove
South Victoria, AK 35193",8,86,74,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Heather Gordon,"450 Brock Well Suite 957
North Jennifer, NJ 32530",7,100,76,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Tyler Turner,"3308 Whitney Way
South Matthew, MP 77333",8,96,88,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Tiffany Tucker,"48888 Jennifer Station Suite 180
Leonardstad, VT 83240",7,91,75,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Alan Jordan,"727 Heather Port Suite 201
Jasonfort, DE 77955",8,90,97,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Melanie Dunn,"6307 Sara Dam Apt. 197
West Aaron, MS 48412",8,96,63,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Stacey Hutchinson,"686 Lindsey Rest
West Johnmouth, WV 36427",9,79,75,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Mark Harding,"15975 Arellano Gateway
New Michellefurt, PA 84462",9,74,88,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Paula Smith,"70901 Cox Branch Suite 316
East Erichaven, RI 23351",8,79,69,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Mark Jones,"678 Kathy Stream
Jonesview, OR 47411",8,80,61,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Kevin Soto,"PSC 5552, Box 4129
APO AA 95417",9,89,72,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Amber Thomas DDS,"1447 Robbins Forges Suite 941
South Johnberg, WV 27313",8,97,81,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Nicole Frye,"25616 Davis Villages Suite 553
East Meaganville, LA 65835",8,97,73,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Mrs. Tammy Lee,"95538 Dorothy Estates
Lake Jonathanside, MD 44810",10,74,63,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Sandra Wright,"312 Byrd Village
New Stephaniechester, UT 87215",8,74,82,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Madison Oliver,"2903 Erica Falls Apt. 749
North Stacy, NJ 08166",7,93,72,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Rhonda Lawrence,"194 Amy Falls Apt. 813
South Vanessaland, MA 85009",9,89,89,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Kimberly Smith,"37822 Jesse Harbor Suite 917
Lake Leslie, GA 23528",8,87,74,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Keith Mckee,"0379 Singleton Lodge
East Vickieview, GA 15736",8,74,60,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Lynn Wilcox,"79748 Gonzalez Dam Suite 368
Parkville, UT 38851",7,81,98,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Hailey Martin,"613 John Ways
Lake Stacyport, OH 75380",9,96,93,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Theresa Brown,"6875 Andrew Walk Suite 197
Port Johnport, WA 79345",8,86,79,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Ashley Blair,"65348 Macias Squares Apt. 346
Richardview, RI 10089",10,81,73,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Cameron Cole,"456 Webster Spurs Apt. 646
Comptonshire, PR 72176",10,76,80,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Dawn Bennett,"98960 Sheena Junctions
South Shawn, VT 70703",9,82,78,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Tyler Villegas,"104 Margaret Corner Apt. 609
New Christopher, PA 28628",9,84,91,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Michael Miller,"16496 Joseph Groves
Carlosburgh, VA 99611",7,98,87,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Robin Galloway,"50876 Mckenzie Course
Morrowmouth, SD 96304",8,70,65,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Colton Smith,"2025 Peter Green Apt. 643
Bautistahaven, CO 07439",9,79,94,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Julie Greene,"688 Nichols Walks Apt. 223
Ronnieland, MI 80401",8,95,84,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Andrew Williams,"4861 Cory Forge Apt. 711
East Matthewview, MA 36880",8,73,90,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Michael Fisher,"292 Gutierrez Lock Suite 195
Port Michaelbury, AS 42450",8,91,100,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Patrick Kelly,"6245 Smith Port
Christianmouth, VA 66123",9,84,68,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
April Andrews,"828 Tyler Ferry Apt. 957
Port Mark, WV 02735",7,79,67,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Courtney Johnston,"PSC 8488, Box 3915
APO AA 65107",8,92,78,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Katelyn Hawkins,"Unit 9289 Box 6071
DPO AA 32958",8,93,63,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Jessica Savage,"70380 Hunter Trace Suite 754
Lisafurt, SD 53108",8,82,96,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Anna Gill,"855 Tanner Crest
Lake Rachelville, ID 17639",9,78,67,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Joseph Williams,"5132 Pope Square
Gillespieland, NV 09359",8,100,67,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Gregory Webb,"544 Amanda Glens
Melissaland, HI 58201",9,84,87,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Derrick Kelley,"865 David Branch
West Charles, NV 02165",8,71,98,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Jake Walker,"3342 Ho Gateway Suite 116
Robertfort, NM 56610",9,80,71,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
April Page,"PSC 3380, Box 4519
APO AP 16966",8,96,88,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Deborah Melton,"616 Martinez Inlet Suite 770
West Melvin, ID 53685",7,91,74,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Faith Brown,"721 Clark Knoll Apt. 692
North Rebecca, OR 79896",10,98,85,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Michelle Gonzales,"Unit 8957 Box 6028
DPO AP 30236",8,71,61,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Joseph Porter,"0363 Jackson Mountains
Lake Dianamouth, MI 73884",7,99,72,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Patricia Grant,"013 Wilkinson Cape Apt. 266
Mcdanielview, OK 69956",8,94,72,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Dawn Hughes,"5784 Mckee Village
Lake Troy, DC 55839",8,82,89,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Katie Crawford,"597 Frazier Wells
Jennifershire, DC 13905",9,94,61,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Eric Robinson,"411 Oscar Terrace Suite 499
Port Jennifer, CA 60960",8,87,93,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Daniel Collins,"454 Kelsey Gateway Apt. 862
South Ericmouth, PA 66534",8,94,62,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Mason Brown,"25918 Elijah Wells Suite 574
Ryanberg, VT 70122",8,75,77,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Amber Jones,"473 Justin Camp
Lake Michelleland, WI 79090",8,98,65,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Sarah Adams,"229 Nathan Unions Apt. 467
Brookston, PR 63862",8,73,99,seni,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Brian Caldwell,"007 Paul Lane Apt. 763
Jenniferfurt, IL 50520",9,75,100,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Karen Brown,"7123 Williams Expressway Apt. 586
Sanchezberg, ND 09358",9,95,61,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Traci Mcclure,"5930 Mendoza Views
Sanchezburgh, SC 74386",9,94,68,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Elizabeth Bowers,"1221 Kimberly Forest
Petersonchester, WA 31817",9,86,83,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Erica Jones,"5797 Lauren Park
Richardsview, NY 15442",10,78,79,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Julia Smith,"69445 Miles Estates Suite 800
East Lori, NV 89295",9,91,80,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Sherry Lopez,"05396 Christensen Flats Suite 800
Jenniferview, MA 81573",9,95,83,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Gordon Saunders,"95141 Erin Landing Apt. 107
Davidville, OH 38723",8,76,98,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Robin Moran,"162 Melissa Way
Stewartstad, SD 26410",9,79,96,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Randall Gray,"0379 Jennifer Rapids Suite 620
Mccallview, NH 46668",9,97,68,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Keith Powell,"4768 Williams Villages
South Logan, NH 96004",8,87,95,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Christian Rogers,"20483 Michael Fall
Millerville, VI 18838",8,78,90,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Thomas Green,"3555 Bartlett Lake
Odomport, VT 70227",7,81,77,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Marcus Ware,"Unit 6359 Box 9551
DPO AA 88120",8,78,93,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Elizabeth Odonnell,"59370 Rodney Harbor
Lake Catherineshire, HI 18849",9,93,69,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Susan Massey,"496 Dennis Manors
Judytown, AL 73233",10,92,62,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Joshua Martin,"1463 Mark Forks Apt. 226
Lake Sierraside, VA 99705",8,71,65,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Michael Weber,"10504 Katherine Brook Apt. 547
Port Saraville, AR 17462",10,78,76,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Megan Davis,"7343 Lopez Forges
Lake Brittanyshire, UT 28333",9,91,99,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Daniel Hamilton,"8920 Wong Divide
Stanleyberg, AS 77281",9,92,76,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Julie Rodriguez,"56342 Gary Mill
North Troy, PR 65623",8,88,76,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Alejandra Barron,"0243 Jones Alley
Port Daniel, CA 39894",9,86,92,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
James Martinez,"6412 Kyle Freeway Suite 091
East Amandaberg, AK 37508",9,93,73,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Mrs. Emily Galvan,"86413 Jessica Walks Apt. 619
East Jesse, PA 10892",9,88,71,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Nicole Zuniga,"5525 Dana Tunnel
Kristymouth, GU 87103",8,94,100,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Christopher Jones,"043 John Ville
Riverabury, DC 52392",10,92,76,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Tammie Moreno,"3957 Herrera Villages
Keithton, NV 52924",9,84,100,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Mary Larson,"16833 Wesley Inlet Apt. 892
Port Richard, AZ 56295",10,98,95,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Jay Taylor,"73953 Austin Cliff
Lake Steven, MD 38473",10,71,71,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Katie Pittman,"5080 Carpenter Cliffs
Howardfort, WV 57904",9,73,87,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Eric Yang,"47870 Gonzalez Mission Apt. 469
Jonesborough, ME 65606",7,90,84,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Caitlin Kelley,"83888 Rodriguez Ports Suite 523
North Heather, PW 87505",9,79,90,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Michael Spence,"PSC 2919, Box 9156
APO AA 07624",8,74,82,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Bianca Dillon,"749 Steven Trace
Wallacestad, ME 40226",7,73,63,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Steven Garcia,"6382 Michael Ville
Greenebury, ME 25915",7,94,70,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
John Alvarez,"72237 Freeman Roads
Valeriechester, NH 60882",8,79,89,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Sean Mendoza,"654 Barry Knoll Apt. 909
Lake Carlatown, MO 83452",9,77,97,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
